15;;;;;;;;;;;;;;;;;;;472.00;Estimé;353.00;Estimé;1380.00;;
16;;;;;;;;;;;;;;;;;;;441.00;Estimé;348.00;Estimé;1380.00;;
17;;;;;;;;;;;;;;;;;;;448.00;Estimé;313.00;Estimé;1350.00;;
18;;;;;;;;;;;;;;;;;;;488.00;;263.00;Estimé;1250.00;;
19;;;;;;;;;;;;;;;;;;;464.00;Estimé;140.00;Estimé;1120.00;;
20;;;;;;;;;;;;;;;;;;;438.00;Estimé;133.00;Estimé;1010.00;;
21;;;;;;;;;;;;;;;;;;;371.00;Estimé;130.00;Estimé;929.00;;
22;;;;;;;;;;;;;;;;;;;284.00;Estimé;99.90;Estimé;864.00;;
23;;;;;;;;;;;;;;;;;;;278.00;Estimé;100.00;Estimé;819.00;;
24;;;;;;;;;;;;;;;;;;;278.00;Estimé;112.00;Estimé;758.00;;
25;;;;;;;;;;;;;;;;;;;278.00;Estimé;111.00;Estimé;688.00;;
26;;;;;;;;;;;;;;;;;100.00;Estimé;240.00;Estimé;182.00;Estimé;662.00;;
27;;;;;;;;;;;;;;;;;90.80;Estimé;292.00;Estimé;298.00;Estimé;620.00;;
28;;;;;;;;;;;;;;;;;106.00;Estimé;421.00;Estimé;459.00;Estimé;584.00;;
29;;;;;;;;;;;;;;;;;115.00;Estimé;515.00;Estimé;515.00;;536.00;;
30;;;;;;;;;;;;;;;;;115.00;Estimé;631.00;;684.00;;490.00;Estimé;
31;;;;;;;;;;;;;;;;;;;638.00;;;;515.00;;
Procédure : QJM - Année : 1886

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1886;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;867.00;867.00;#;;
F;875.00;875.00;#;;
M;655.00;655.00;#;;
A;283.00;283.00;#;;
M;212.00;212.00;#;;
J;304.00;304.00;#;;
J;153.00;153.00;#;;
A;;;;;
S;111.00;111.00;#;;
O;139.00;139.00;#;;
N;239.00;239.00;#;;
D;657.00;657.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1886
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;Estimé;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);867.00;875.00;655.00;283.00;212.00;304.00;153.00;;111.00;139.00;239.00;657.00;;
;Débit moyen spécifique (l/s/km2);19.80;20.00;15.00;6.47;4.83;6.94;3.50;;2.54;3.18;5.46;15.00;;
;Lame d'eau (mm);53.00;48.30;40.10;16.80;12.90;18.00;9.40;;6.60;8.50;14.20;40.20;;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);867.00;875.00;655.00;283.00;212.00;304.00;153.00;;111.00;139.00;239.00;657.00;;
;Débit moyen spécifique (l/s/km2);19.80;20.00;15.00;6.47;4.83;6.94;3.50;;2.54;3.18;5.46;15.00;;
;Lame d'eau (mm);53.00;48.30;40.10;16.80;12.90;18.00;9.40;;6.60;8.50;14.20;40.20;;
;
Maximum instantané;Débit (m3/s);1170.00;1320.00;995.00;401.00;348.00;442.00;348.00;207.00;149.00;348.00;488.00;1070.00;;
;Date;30/01/1886 08:00;04/02/1886 15:00;08/03/1886 08:00;12/04/1886 08:00;14/05/1886 08:00;12/06/1886 15:00;01/07/1886 08:00;02/08/1886 08:00;11/09/1886 15:00;19/10/1886 15:00;20/11/1886 08:00;31/12/1886 15:00; ;
;Hauteur (cm);400.00;460.00;330.00;140.00;130.00;150.00;130.00;110.00;100.00;130.00;160.00;360.00;460.00;
;Date;30/01/1886 08:00;04/02/1886 15:00;08/03/1886 08:00;12/04/1886 08:00;14/05/1886 08:00;12/06/1886 15:00;01/07/1886 08:00;02/08/1886 08:00;11/09/1886 15:00;19/10/1886 15:00;20/11/1886 08:00;31/12/1886 15:00;04/02/1886 15:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;502.00;Estimé;1110.00;;380.00;Estimé;356.00;Estimé;278.00;Estimé;157.00;Estimé;308.00;Estimé;140.00;Estimé;81.90;Estimé;115.00;Estimé;118.00;Estimé;157.00;Estimé;
2;436.00;Estimé;1170.00;;418.00;Estimé;343.00;Estimé;278.00;Estimé;138.00;Estimé;270.00;Estimé;168.00;Estimé;99.50;Estimé;113.00;Estimé;131.00;Estimé;131.00;Estimé;
3;459.00;Estimé;1240.00;;609.00;;284.00;Estimé;278.00;Estimé;163.00;Estimé;206.00;Estimé;135.00;Estimé;114.00;Estimé;102.00;Estimé;147.00;Estimé;115.00;Estimé;
4;541.00;;1300.00;;897.00;;278.00;Estimé;234.00;Estimé;135.00;Estimé;183.00;Estimé;131.00;Estimé;115.00;Estimé;117.00;Estimé;146.00;Estimé;118.00;Estimé;
5;599.00;;1320.00;;919.00;;278.00;Estimé;158.00;Estimé;149.00;Estimé;201.00;Estimé;133.00;Estimé;113.00;Estimé;143.00;Estimé;124.00;Estimé;147.00;Estimé;
6;754.00;;1320.00;;922.00;;278.00;Estimé;172.00;Estimé;192.00;Estimé;158.00;Estimé;167.00;Estimé;102.00;Estimé;117.00;Estimé;172.00;Estimé;146.00;Estimé;
7;845.00;;1290.00;;950.00;;286.00;Estimé;179.00;Estimé;339.00;Estimé;190.00;Estimé;123.00;Estimé;114.00;Estimé;115.00;Estimé;172.00;Estimé;128.00;Estimé;
8;865.00;;1270.00;;992.00;;323.00;Estimé;181.00;Estimé;348.00;Estimé;127.00;Estimé;131.00;Estimé;115.00;Estimé;115.00;Estimé;173.00;Estimé;360.00;Estimé;
9;863.00;;1170.00;;989.00;;180.00;Estimé;196.00;Estimé;366.00;Estimé;191.00;Estimé;147.00;Estimé;106.00;Estimé;113.00;Estimé;153.00;Estimé;459.00;Estimé;
10;833.00;;1060.00;;925.00;;327.00;Estimé;158.00;Estimé;322.00;Estimé;153.00;Estimé;149.00;Estimé;98.60;Estimé;102.00;Estimé;166.00;Estimé;546.00;;
11;804.00;;999.00;;899.00;;300.00;Estimé;172.00;Estimé;328.00;Estimé;149.00;Estimé;146.00;Estimé;120.00;Estimé;117.00;Estimé;224.00;Estimé;507.00;;
12;765.00;;991.00;;836.00;;388.00;Estimé;160.00;Estimé;414.00;Estimé;149.00;Estimé;124.00;Estimé;117.00;Estimé;119.00;Estimé;146.00;Estimé;541.00;;
13;751.00;;937.00;;806.00;;353.00;Estimé;274.00;Estimé;341.00;Estimé;149.00;Estimé;185.00;Estimé;106.00;Estimé;139.00;Estimé;281.00;Estimé;633.00;;
14;796.00;;913.00;;778.00;;348.00;Estimé;300.00;Estimé;344.00;Estimé;131.00;Estimé;120.00;Estimé;107.00;Estimé;113.00;Estimé;331.00;Estimé;740.00;;
15;867.00;;864.00;;747.00;;343.00;Estimé;212.00;Estimé;401.00;Estimé;115.00;Estimé;121.00;Estimé;108.00;Estimé;107.00;Estimé;270.00;Estimé;759.00;;
16;946.00;;819.00;;711.00;;247.00;Estimé;268.00;Estimé;396.00;Estimé;118.00;Estimé;185.00;Estimé;114.00;Estimé;153.00;Estimé;286.00;Estimé;814.00;;
17;994.00;;761.00;;655.00;;243.00;Estimé;187.00;Estimé;353.00;Estimé;143.00;Estimé;118.00;Estimé;115.00;Estimé;158.00;Estimé;343.00;Estimé;800.00;;
18;1010.00;;714.00;;616.00;;278.00;Estimé;215.00;Estimé;313.00;Estimé;135.00;Estimé;97.30;Estimé;115.00;Estimé;183.00;Estimé;328.00;Estimé;836.00;;
19;989.00;;682.00;;585.00;;278.00;Estimé;270.00;Estimé;278.00;Estimé;146.00;Estimé;73.50;Estimé;115.00;Estimé;283.00;Estimé;385.00;Estimé;889.00;;
20;1040.00;;637.00;;568.00;;278.00;Estimé;248.00;Estimé;278.00;Estimé;120.00;Estimé;;Inconnu faible;110.00;Estimé;159.00;Estimé;431.00;Estimé;931.00;;
21;1060.00;;614.00;;536.00;;278.00;Estimé;214.00;Estimé;278.00;Estimé;143.00;Estimé;;Inconnu faible;136.00;Estimé;128.00;Estimé;396.00;Estimé;947.00;;
22;1020.00;;588.00;;520.00;;295.00;Estimé;177.00;Estimé;286.00;Estimé;120.00;Estimé;;Inconnu faible;101.00;Estimé;223.00;Estimé;353.00;Estimé;950.00;;
23;887.00;;508.00;Estimé;504.00;;205.00;Estimé;183.00;Estimé;349.00;Estimé;143.00;Estimé;;Inconnu faible;100.00;Estimé;160.00;Estimé;371.00;Estimé;967.00;;
24;860.00;;429.00;Estimé;488.00;;311.00;Estimé;291.00;Estimé;393.00;Estimé;117.00;Estimé;;Inconnu faible;114.00;Estimé;147.00;Estimé;317.00;Estimé;909.00;;
25;842.00;;484.00;Estimé;483.00;Estimé;271.00;Estimé;217.00;Estimé;358.00;Estimé;118.00;Estimé;;Inconnu faible;115.00;Estimé;138.00;Estimé;270.00;Estimé;896.00;;
26;917.00;;464.00;Estimé;446.00;Estimé;243.00;Estimé;181.00;Estimé;393.00;Estimé;143.00;Estimé;;Inconnu faible;115.00;Estimé;167.00;Estimé;212.00;Estimé;957.00;;
27;1060.00;;438.00;Estimé;442.00;Estimé;234.00;Estimé;196.00;Estimé;353.00;Estimé;117.00;Estimé;;Inconnu faible;125.00;Estimé;131.00;Estimé;201.00;Estimé;975.00;;
28;1140.00;;399.00;Estimé;442.00;Estimé;210.00;Estimé;153.00;Estimé;343.00;Estimé;115.00;Estimé;;Inconnu faible;103.00;Estimé;133.00;Estimé;177.00;Estimé;975.00;;
29;1140.00;;;;438.00;Estimé;192.00;Estimé;149.00;Estimé;317.00;Estimé;115.00;Estimé;;Inconnu faible;128.00;Estimé;149.00;Estimé;158.00;Estimé;977.00;;
30;1160.00;;;;404.00;Estimé;266.00;Estimé;179.00;Estimé;293.00;Estimé;133.00;Estimé;;Inconnu faible;117.00;Estimé;146.00;Estimé;201.00;Estimé;998.00;;
31;1130.00;;;;401.00;Estimé;;;206.00;Estimé;;;146.00;Estimé;;Inconnu faible;;;117.00;Estimé;;;1050.00;;
Procédure : QJM - Année : 1887

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1887;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;673.00;673.00;#;;
F;355.00;355.00;#;;
M;256.00;256.00;#;;
A;362.00;362.00;#;;
M;474.00;474.00;#;;
J;368.00;368.00;#;;
J;131.00;131.00;#;;
A;;;;;
S;;;;;
O;113.00;113.00;#;;
N;143.00;143.00;#;;
D;566.00;566.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1887
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);673.00;355.00;256.00;362.00;474.00;368.00;131.00;;;113.00;143.00;566.00;;
;Débit moyen spécifique (l/s/km2);15.40;8.11;5.84;8.26;10.80;8.40;2.99;;;2.58;3.26;12.90;;
;Lame d'eau (mm);41.10;19.60;15.60;21.40;29.00;21.80;8.00;;;6.90;8.50;34.60;;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);673.00;355.00;256.00;362.00;474.00;368.00;131.00;;;113.00;143.00;566.00;;
;Débit moyen spécifique (l/s/km2);15.40;8.11;5.84;8.26;10.80;8.40;2.99;;;2.58;3.26;12.90;;
;Lame d'eau (mm);41.10;19.60;15.60;21.40;29.00;21.80;8.00;;;6.90;8.50;34.60;;
;
Maximum instantané;Débit (m3/s);1070.00;488.00;520.00;618.00;715.00;553.00;207.00;207.00;115.00;149.00;278.00;891.00;;
;Date;01/01/1887 08:00;05/02/1887 08:00;27/03/1887 15:00;03/04/1887 08:00;07/05/1887 08:00;04/06/1887 15:00;01/07/1887 08:00;02/08/1887 08:00;10/09/1887 08:00;05/10/1887 08:00;27/11/1887 08:00;18/12/1887 08:00; ;
;Hauteur (cm);360.00;160.00;170.00;200.00;230.00;180.00;110.00;110.00;90.00;100.00;120.00;290.00;360.00;
;Date;01/01/1887 08:00;05/02/1887 08:00;27/03/1887 15:00;03/04/1887 08:00;07/05/1887 08:00;04/06/1887 15:00;01/07/1887 08:00;02/08/1887 08:00;10/09/1887 08:00;05/10/1887 08:00;27/11/1887 08:00;18/12/1887 08:00;01/01/1887 08:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;1060.00;;401.00;Estimé;271.00;Estimé;516.00;;204.00;Estimé;463.00;Estimé;201.00;Estimé;149.00;Estimé;;Inconnu faible;111.00;Estimé;108.00;Estimé;180.00;Estimé;
2;1060.00;;401.00;Estimé;246.00;Estimé;544.00;;293.00;Estimé;466.00;Estimé;135.00;Estimé;165.00;Estimé;;Inconnu faible;102.00;Estimé;128.00;Estimé;208.00;Estimé;
3;985.00;;405.00;Estimé;263.00;Estimé;606.00;;427.00;Estimé;491.00;;133.00;Estimé;103.00;Estimé;;Inconnu faible;107.00;Estimé;116.00;Estimé;234.00;Estimé;
4;911.00;;443.00;Estimé;186.00;Estimé;541.00;;412.00;Estimé;535.00;;149.00;Estimé;117.00;Estimé;;Inconnu faible;117.00;Estimé;108.00;Estimé;181.00;Estimé;
5;919.00;;484.00;Estimé;172.00;Estimé;507.00;;345.00;Estimé;553.00;;149.00;Estimé;139.00;Estimé;;Inconnu faible;125.00;Estimé;108.00;Estimé;202.00;Estimé;
6;942.00;;464.00;Estimé;154.00;Estimé;504.00;;647.00;;546.00;;131.00;Estimé;110.00;Estimé;;Inconnu faible;95.70;Estimé;117.00;Estimé;201.00;Estimé;
7;921.00;;442.00;Estimé;202.00;Estimé;521.00;;692.00;;496.00;;118.00;Estimé;108.00;Estimé;65.90;Estimé;107.00;Estimé;143.00;Estimé;153.00;Estimé;
8;933.00;;442.00;Estimé;207.00;Estimé;547.00;;636.00;;518.00;;147.00;Estimé;114.00;Estimé;81.10;Estimé;106.00;Estimé;131.00;Estimé;173.00;Estimé;
9;944.00;;442.00;Estimé;181.00;Estimé;502.00;Estimé;601.00;;520.00;;146.00;Estimé;115.00;Estimé;91.00;Estimé;98.60;Estimé;117.00;Estimé;266.00;Estimé;
10;918.00;;442.00;Estimé;202.00;Estimé;446.00;Estimé;579.00;;517.00;;135.00;Estimé;113.00;Estimé;109.00;Estimé;100.00;Estimé;118.00;Estimé;425.00;Estimé;
11;890.00;;420.00;Estimé;201.00;Estimé;420.00;Estimé;522.00;;494.00;;146.00;Estimé;108.00;Estimé;93.00;Estimé;117.00;Estimé;143.00;Estimé;536.00;Estimé;
12;847.00;;396.00;Estimé;153.00;Estimé;374.00;Estimé;494.00;;515.00;;131.00;Estimé;115.00;Estimé;111.00;Estimé;127.00;Estimé;109.00;Estimé;653.00;;
13;791.00;;353.00;Estimé;154.00;Estimé;376.00;Estimé;518.00;;491.00;;117.00;Estimé;115.00;Estimé;108.00;Estimé;103.00;Estimé;102.00;Estimé;729.00;;
14;727.00;;371.00;Estimé;177.00;Estimé;401.00;Estimé;504.00;;464.00;Estimé;115.00;Estimé;106.00;Estimé;113.00;Estimé;136.00;Estimé;161.00;Estimé;738.00;;
15;635.00;;353.00;Estimé;196.00;Estimé;396.00;Estimé;488.00;;415.00;Estimé;115.00;Estimé;100.00;Estimé;99.90;Estimé;104.00;Estimé;130.00;Estimé;694.00;;
16;585.00;;321.00;Estimé;153.00;Estimé;325.00;Estimé;483.00;Estimé;317.00;Estimé;115.00;Estimé;112.00;Estimé;100.00;Estimé;124.00;Estimé;110.00;Estimé;764.00;;
17;538.00;;344.00;Estimé;149.00;Estimé;344.00;Estimé;450.00;Estimé;253.00;Estimé;115.00;Estimé;111.00;Estimé;112.00;Estimé;103.00;Estimé;121.00;Estimé;848.00;;
18;485.00;Estimé;343.00;Estimé;154.00;Estimé;328.00;Estimé;456.00;Estimé;303.00;Estimé;115.00;Estimé;139.00;Estimé;99.90;Estimé;140.00;Estimé;163.00;Estimé;889.00;;
19;456.00;Estimé;284.00;Estimé;190.00;Estimé;353.00;Estimé;404.00;Estimé;253.00;Estimé;118.00;Estimé;108.00;Estimé;98.60;Estimé;110.00;Estimé;112.00;Estimé;891.00;;
20;404.00;Estimé;240.00;Estimé;138.00;Estimé;223.00;Estimé;401.00;Estimé;344.00;Estimé;143.00;Estimé;99.90;Estimé;100.00;Estimé;107.00;Estimé;125.00;Estimé;891.00;;
21;431.00;Estimé;243.00;Estimé;149.00;Estimé;256.00;Estimé;401.00;Estimé;365.00;Estimé;110.00;Estimé;97.70;Estimé;114.00;Estimé;107.00;Estimé;138.00;Estimé;891.00;;
22;512.00;;278.00;Estimé;154.00;Estimé;194.00;Estimé;405.00;Estimé;276.00;Estimé;128.00;Estimé;89.00;Estimé;113.00;Estimé;124.00;Estimé;186.00;Estimé;888.00;;
23;491.00;;278.00;Estimé;238.00;Estimé;240.00;Estimé;439.00;Estimé;206.00;Estimé;124.00;Estimé;;Inconnu faible;107.00;Estimé;104.00;Estimé;106.00;Estimé;847.00;;
24;488.00;;278.00;Estimé;293.00;Estimé;263.00;Estimé;469.00;Estimé;138.00;Estimé;160.00;Estimé;;Inconnu faible;107.00;Estimé;136.00;Estimé;167.00;Estimé;788.00;;
25;483.00;Estimé;278.00;Estimé;409.00;Estimé;212.00;Estimé;515.00;;135.00;Estimé;104.00;Estimé;;Inconnu faible;102.00;Estimé;108.00;Estimé;183.00;Estimé;720.00;;
26;446.00;Estimé;278.00;Estimé;429.00;Estimé;207.00;Estimé;471.00;Estimé;197.00;Estimé;149.00;Estimé;;Inconnu faible;107.00;Estimé;102.00;Estimé;213.00;Estimé;701.00;;
27;438.00;Estimé;278.00;Estimé;498.00;Estimé;201.00;Estimé;484.00;Estimé;201.00;Estimé;151.00;Estimé;;Inconnu faible;112.00;Estimé;107.00;Estimé;203.00;Estimé;706.00;;
28;404.00;Estimé;246.00;Estimé;491.00;;183.00;Estimé;488.00;;158.00;Estimé;107.00;Estimé;;Inconnu faible;107.00;Estimé;114.00;Estimé;207.00;Estimé;605.00;;
29;401.00;Estimé;;;505.00;;177.00;Estimé;488.00;;202.00;Estimé;103.00;Estimé;;Inconnu faible;99.90;Estimé;115.00;Estimé;212.00;Estimé;536.00;;
30;401.00;Estimé;;;517.00;;150.00;Estimé;488.00;;207.00;Estimé;140.00;Estimé;;Inconnu faible;104.00;Estimé;115.00;Estimé;206.00;Estimé;545.00;;
31;401.00;Estimé;;;491.00;;;;487.00;Estimé;;;112.00;Estimé;;Inconnu faible;;;125.00;Estimé;;;477.00;Estimé;
Procédure : QJM - Année : 1888

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1888;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;364.00;364.00;#;;
F;509.00;509.00;#;;
M;794.00;794.00;#;;
A;868.00;868.00; ;;
M;411.00;411.00;#;;
J;192.00;192.00;#;;
J;423.00;423.00;#;;
A;295.00;295.00;#;;
S;136.00;136.00;#;;
O;258.00;258.00;#;;
N;276.00;276.00;#;;
D;383.00;383.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1888
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);364.00;509.00;794.00;868.00;411.00;192.00;423.00;295.00;136.00;258.00;276.00;383.00;409.00;
;Débit moyen spécifique (l/s/km2);8.30;11.60;18.10;19.80;9.38;4.39;9.66;6.74;3.11;5.89;6.30;8.74;9.34;
;Lame d'eau (mm);22.20;29.10;48.50;51.40;25.10;11.40;25.90;18.00;8.10;15.80;16.30;23.40;295.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);364.00;509.00;794.00;868.00;411.00;192.00;423.00;295.00;136.00;258.00;276.00;383.00;409.00;
;Débit moyen spécifique (l/s/km2);8.30;11.60;18.10;19.80;9.38;4.39;9.66;6.74;3.11;5.89;6.30;8.74;9.34;
;Lame d'eau (mm);22.20;29.10;48.50;51.40;25.10;11.40;25.90;18.00;8.10;15.80;16.30;23.40;295.00;
;
Maximum instantané;Débit (m3/s);520.00;807.00;1170.00;1120.00;849.00;348.00;553.00;553.00;207.00;401.00;442.00;585.00;1170.00;
;Date;24/01/1888 15:00;13/02/1888 15:00;18/03/1888 08:00;03/04/1888 08:00;01/05/1888 00:01;29/06/1888 15:00;20/07/1888 08:00;02/08/1888 08:00;06/09/1888 08:00;14/10/1888 15:00;30/11/1888 15:00;03/12/1888 15:00;18/03/1888 08:00;
;Hauteur (cm);170.00;260.00;400.00;380.00;275.00;130.00;180.00;180.00;110.00;140.00;150.00;190.00;400.00;
;Date;24/01/1888 15:00;13/02/1888 15:00;18/03/1888 08:00;03/04/1888 08:00;01/05/1888 00:01;29/06/1888 15:00;20/07/1888 08:00;02/08/1888 08:00;06/09/1888 08:00;14/10/1888 15:00;30/11/1888 15:00;03/12/1888 15:00;18/03/1888 08:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;390.00;Estimé;328.00;Estimé;298.00;Estimé;1070.00;;762.00;;235.00;Estimé;328.00;Estimé;513.00;Estimé;75.70;Estimé;156.00;Estimé;172.00;Estimé;507.00;Estimé;
2;365.00;Estimé;331.00;Estimé;278.00;Estimé;1090.00;;717.00;;212.00;Estimé;435.00;Estimé;530.00;;75.90;Estimé;221.00;Estimé;135.00;Estimé;528.00;;
3;247.00;Estimé;198.00;Estimé;278.00;Estimé;1110.00;;715.00;;235.00;Estimé;457.00;Estimé;498.00;;76.60;Estimé;137.00;Estimé;154.00;Estimé;569.00;;
4;243.00;Estimé;258.00;Estimé;240.00;Estimé;1080.00;;712.00;;212.00;Estimé;410.00;Estimé;515.00;;89.20;Estimé;202.00;Estimé;215.00;Estimé;552.00;;
5;293.00;Estimé;218.00;Estimé;235.00;Estimé;1030.00;;665.00;;201.00;Estimé;406.00;Estimé;491.00;;108.00;Estimé;243.00;Estimé;282.00;Estimé;523.00;;
6;409.00;Estimé;280.00;Estimé;212.00;Estimé;993.00;;600.00;;183.00;Estimé;333.00;Estimé;488.00;;197.00;Estimé;278.00;Estimé;196.00;Estimé;517.00;;
7;407.00;Estimé;398.00;Estimé;213.00;Estimé;963.00;;531.00;;177.00;Estimé;393.00;Estimé;491.00;;160.00;Estimé;286.00;Estimé;192.00;Estimé;486.00;Estimé;
8;443.00;Estimé;505.00;Estimé;320.00;Estimé;949.00;;547.00;;179.00;Estimé;376.00;Estimé;518.00;;147.00;Estimé;300.00;Estimé;266.00;Estimé;446.00;Estimé;
9;480.00;Estimé;578.00;;440.00;Estimé;944.00;;530.00;;207.00;Estimé;358.00;Estimé;499.00;Estimé;149.00;Estimé;212.00;Estimé;310.00;Estimé;438.00;Estimé;
10;446.00;Estimé;578.00;;497.00;Estimé;915.00;;486.00;Estimé;201.00;Estimé;398.00;Estimé;446.00;Estimé;146.00;Estimé;213.00;Estimé;317.00;Estimé;399.00;Estimé;
11;442.00;Estimé;649.00;;640.00;;867.00;;441.00;Estimé;183.00;Estimé;379.00;Estimé;415.00;Estimé;124.00;Estimé;271.00;Estimé;253.00;Estimé;353.00;Estimé;
12;438.00;Estimé;703.00;;815.00;;860.00;;420.00;Estimé;228.00;Estimé;398.00;Estimé;380.00;Estimé;163.00;Estimé;316.00;Estimé;304.00;Estimé;328.00;Estimé;
13;404.00;Estimé;776.00;;913.00;;837.00;;399.00;Estimé;146.00;Estimé;401.00;Estimé;396.00;Estimé;117.00;Estimé;321.00;Estimé;253.00;Estimé;366.00;Estimé;
